group_kanji,member_number,kanji,original_kanji,meaning,story,frame_number,onyomi
九,5,砕,砕,"smash, break, crush, familiar, popular","We begin with the two elements on the right, baseball and needle. Since they will be coming together from time to time, let us give the two of them the sense of a game of cricket in which a needle is laid across the wicket. Then imagine using a rock for a ball. A smash hit would probably splinter the bat in all directions, and a smashing pitch would do the same with the needle wicket. [9]",9,サイ
九,6,酔,酔,"drunk, feel sick, poisoned, elated, spellbound",Whiskey bottle . . . baseball . . . needle. [11],11,スイ
九,7,鳩①,鳩,"pigeon, dove",Baseball . . . bird. [13],13,キュウ、 ク
九,7,九③,九,,,,
十,1,十②,十,ten,"* as a primitive, this character sometimes keeps its meaning of ten and sometimes signifies needle, this latter derived from the kanji for needle [(frame 274). Since the primitive is used in the kanji itself, there is no need to worry about confusing the two. In fact, we shall be following this procedure regularly.",,ジュウ、ジッ、ジュッ
十,2,夲,夲,,,,
十,3,迅,迅,"swift, fast","Here we see a crossing in the form of a barbed fishhook, suggesting a swifter alternate not only to the old roundabouts but also to the “cloverleaf ” design used on superhighways. [6]",6,ジン
十,3,十③,十,,,,
十,1,十④,十,ten,"* as a primitive, this character sometimes keeps its meaning of ten and sometimes signifies needle, this latter derived from the kanji for needle [(frame 274). Since the primitive is used in the kanji itself, there is no need to worry about confusing the two. In fact, we shall be following this procedure regularly.",,
十,2,汁,汁,"soup, juice, broth, sap, gravy, pus","To make soup, one begins with water and then starts adding things to it, often leftovers from the icebox. This is how the thick soup or stew called “seven-in-one” is made. This kanji does it three better, giving us a ten-ingredient soup. [5]",5,
十,3,辻,辻,"crossing, crossroad, street corners, (kokuji)","Take the first two strokes in the sense we gave them back in frame 10, as the pictograph of a cross, and set it on a road to create a “crossing.” [5]",5,
十,4,叶,叶,,,,
十,5,瓧,瓧,,,,
十,6,竍,竍,,,,
十,7,籵,籵,,,,
十,8,計,計,"plot, plan, scheme, measure",Words and a meter’s needle combine to form the sense of plot: to talk over plans and to calculate a course of action. [9],9,
十,9,針,針,"needle, pin, staple, stinger","In frame 10 we referred ahead to this full character from which the primitive for needle (on the right) derives. Since we already expect that needles are made of metal, let us picture a set of solid gold darning needles to complete the kanji. [10]",10,
十,9,十⑤,十,,,,
廿,1,廿①,廿,twenty,"The two tens joined at the bottom by a short line is actually the old character for twenty, which we might as well learn since we need its primitive form. It is written the same as salad, except for the shorter final stroke. [4]",4,
廿,1,廿②,廿,,,,
,2,庶,庶,"commoner, all, bastard",Caverns . . . oven fire. [11],11,ショ
,3,遮,遮,"intercept, interrupt, obstruct",Commoner . . . road. [14],14,シャ
,4,席,席,"seat, mat, occasion, place",Caverns . . . towel. [10],10,セキ
度,1,度①,度,"degrees, occurrence, time, counter for occurrences, consider, attitude","This key word refers to a gradation of measurement, not to academic diplomas. Its primitives: caverns . . . crotch. [9]",9,ド、ト、タク
度,2,渡,渡,"transit, ford, ferry, cross, import, deliver, diameter, migrate",Water . . . degrees. [12],12,ト
度,2,度②,度,,,,
世,1,世①,世,"generation, world, society, public","We generally consider one generation as a period of thirty (or ten plus ten plus ten) years. If you look at this kanji in its completed form—not in its stroke order—you will see three tens. When writing it, think of the lower horizontal lines as “addition” lines written under numbers to add them up. Thus: ten “plus” ten “plus” ten = thirty. Actually, it’s a lot easier doing it with a pencil than reading it in a book. [5]",5,セイ、セ、ソウ
世,1,世②,世,,,,
千,1,千①,千,thousand,"This kanji is almost too simple to pull apart, but for the sake of practice, have a look at the drop above and the ten below. Now put the elements together by thinking of squeezing two more zeros out of an eyedropper alongside the number ten to make it a thousand. [3]",3,セン
千,2,舌,舌,"tongue, reed, clapper","The primitive for mouth and the character for thousand naturally form the idea of tongue if one thinks of a thousand mouths able to speak the same language, or as we say, “sharing a common tongue.” It is easy to see the connection between the idiom and the kanji if you take its image literally: a single tongue being passed around from mouth to mouth. [6]",6,ゼツ
千,3,括,括,"fasten, tie up, arrest, constrict",Finger . . . tongue. [9],9,カツ
千,4,話,話,"tale, talk","That the words of the tongue should come to mean a tale is clear from the etymology: a tale is something “talked,” not something read from a book. [13]",13,ワ
千,5,活①,活,"lively, resuscitation, being helped, living","When we speak of a lively personality or a lively party, we immediately think of a lot of chatter. This kanji depicts the idea of lively by having tongues babble and splash around like flowing water. [9]",9,カツ
千,6,辞①,辞,"resign, word, term, expression",Tongue . . . spicy. [13],13,ジ
千,7,憩①,憩,"recess, rest, relax, repose","tongue . . . nose . . . heart. The sense of breath from the last frame should not be used in your story, since it might lead us later to put only the nose over the heart and leave the tongue off to one side. [16]",16,ケイ
千,7,千②,千,,,,
中,1,中①,中,"in, inside, middle, mean, Centre","The elements here are a walking stick and a mouth. Remember the trouble your mother had getting medicine in your mouth? Chances are it crossed her mind more than once to grab something handy, like your grandfather’s walking stick, to pry open your jaws while she performed her duty. Keep the image of getting something in from the outside, and the otherwise abstract sense of this key word should be a lot easier than trying to spoon castor oil into a baby’s mouth. [4]",4,チュウ
中,2,冲,冲,,,,
中,3,仲,仲,"go-between, relationship",Person . . . in. [6],6,
中,4,沖,沖,"open sea, offing, rise high into sky","This kanji could hardly be simpler. The key word open sea readily suggests being out in the middle of a great body of water. Thinking of it in this way should avoid confusion with the kanji for “open,” which we will meet later on. [7]",7,
中,5,狆,狆,,,,
中,6,迚,迚,,,,
中,7,忠①,忠,"loyalty, fidelity, faithfulness",In the middle of a . . . heart. [8],8,
中,7,中②,中,,,,
𠀐,1,𠀐①,𠀐,purse,"* purse — By adding a single stroke at the bottom of the kanji for in, we get a sort of pictograph of a purse. [5]",5,
𠀐,1,𠀐②,𠀐,,,,
貴,1,貴①,貴,"precious, value, prize, esteem, honor",Purse . . . shells. [12],12,キ
貴,2,遺,遺,"bequeath, leave behind, reserve",Precious . . . road. [15],15,イ、 ユイ
貴,3,潰,潰,"crush, smash, break, dissipate",Water . . . Precious. [15],15,カイ、 エ
貴,4,遣,遣,"dispatch, despatch, send, give, donate, do, undertake","This kanji takes away the maestro’s baton and replaces it with a purse. The road represents his being dispatched on his way as an obvious misfit. You will remember that when he did have his baton, he was being chased down the road by his fans. All of which shows what a difference a single stroke can make! [13]",13,ケン
貴,4,貴②,貴,,,,
丩,1,丩①,丩,cornucopia,"* cornucopia ¥ Considering the lack of circular lines, this kanji is not a bad pictograph of a cornucopia. Despite the appearance of the printed form, what looks like the first two strokes are actually written as one. [2]",2,
丩,2,叫,叫,"shout, exclaim, yell",Mouth… Cornucopia,,キョウ
丩,3,糾,糾,"twist, ask, investigate, verify",Thread… Cornucopia,,キュウ
丩,4,収,収,"income, obtain, reap, pay, supply, store",Cornucopia . . . crotch. Keep distinct from both fare (frame 1004) and salary (frame 1349). [4],4,シュウ
丩,4,丩②,丩,,,,
卑,1,卑①,卑,"lowly, base, vile, vulgar",A drop of . . . brains . . . cornucopia. [8],8,ヒ
卑,2,碑,碑,"tombstone, monument",Rock . . . lowly. [13],13,ヒ
卑,3,痺,痺,"palsy, become numb, paralysed",Sickness . . . lowly. [10],10,
卑,4,俾,俾,tutor,Person . . . lowly. [10],10,
卑,5,脾,脾,spleen,Flesh . . . lowly. [12],12,
卑,6,顰,顰,"scowl, raise eyebrows",Walk . . . head . . . lowly. [24],24,
卑,6,卑②,卑,,,,
丶,1,丶①,丶,a drop of,"* a drop of , The meaning of this primitive is obvious from the first moment you look at it, though just what it will be a drop of will differ from case to case. The important thing is not to think of it as something insignificant like a “drop in the bucket” but as something so important that it can change the whole picture— like a drop of arsenic in your mother-in-law’s coffee. [1]",1,
丶,1,丶②,丶,a drop of,"* In general, it is written from right to left, but there are times when it can be slanted left to right. At other times it can be stretched out a bit. (In cases where you have trouble remembering this, it may help to think of it as an eyedropper dripping drops of something or other.) Examples will follow in this Lesson.",,
丶,2,面,面,"mask, face, features, surface","Imagine a mask over your head with eyes not only peeping out of the normal place, but all over the head, a hundred in all (the element for eye displacing the fifth stroke of that for eye). [9]",9,メン、ベン
丶,2,丶③,丶,,,,
日,1,日①,日,"day, sun, Japan, counter for days","This kanji is intended to be a pictograph of the sun. Recalling what we said in the previous frame about round forms, it is easy to detect the circle and the big smile that characterize our simplest drawings of the sun—like those yellow badges with the words, “Have a nice day!” [4]",4,ニチ、ジツ
日,1,日②,日,sun or day or a tongue wagging in the mouth,"* Used as a primitive, this kanji can mean sun or day or a tongue wagging in the mouth. This latter meaning, incidentally, derives from an old character outside the standard list meaning something like “sayeth” and written almost exactly the same, except that the stroke in the middle does not touch the right side (Q, frame 578).",,ニチ、ジツ
日,2,旧,旧,"old times, old things, old friend, former, ex-","A walking stick is needed for days of olden times, since days, too, get old—at least insofar as we refer to them as the “good old days.” The main thing here is to think of “good old days” when you hear the key word olden times. The rest will take care of itself. [5]",5,キュウ
日,3,昌,昌,"prosperous, bright, clear","What we mentioned in the previous two frames about 3 of something meaning “everywhere” or “heaps of” was not meant to be taken lightly. In this kanji we see two suns, one atop the other, which, if we are not careful, is easily confused in memory with the three suns of sparkle. Focus on the number this way: since we speak of prosperous times as sunny, what could be more prosperous than a sky with two suns in it? Just be sure to actually see them there. [8]",8,
日,4,冒,冒,"companion, friend","Remember when you were young and your mother told you never to look directly into the sun for fear you might burn out your eyes? Probably you were foolish enough to risk a quick glance once or twice; but just as probably, you passed that bit of folk wisdom on to someone else as you grew older. Here, too, the kanji that has a sun above and an eye right below looking up at it has the meaning of risk (see frame 12). [9]",9,ボウ
日,5,唱,唱,"sparkle, clear, crystal","This one is easy! You have one mouth making no noise (the choirmaster) and two mouths with wagging tongues (the minimum for a chorus). So think of the key word, chant, as monastery singing and the kanji is yours forever (see frame 12). [11]",11,ショウ
日,6,晶,晶,"sparkle, clear, crystal","What else can the word sparkle suggest if not a diamond? And if you’ve ever held a diamond up to the light, you will have noticed how every facet of it becomes like a miniature sun. This kanji is a picture of a tiny sun in three places (that is, “everywhere”), to give the sense of something that sparkles on all sides. Just like a diamond. In writing the primitive elements three times, note again how the rule for writing given in frame 4 holds true not only for the strokes in each individual element but also for the disposition of the elements in the character as a whole. [12]",12,ショウ
日,6,日③,日,,,,
假,1,假①,假,"temporary, interim, assumed (name), informal",,,
假,2,葭,葭,,,,
假,3,暇,暇,"spare time, rest, leisure, time, leave of absence","The element for day on the left is logical enough. Next to it we see staples being held in mouth (one stroke is doubled up), indicating working in one’s hobby or handicrafts at home on one’s spare time. The small box at the top right is facing backwards, or more properly “inside out.” Finally, we have the crotch at the bottom. [13]",13,カ
假,4,遐,遐,,,,
假,5,瑕,瑕,,,,
假,6,鍜,鍜,,,,
假,7,鰕,鰕,,,,
假,7,假②,假,,,,
白,1,白①,白,white,"The colour white is a mixture of all the primary colours, both for pigments and for light, as we see when a prism breaks up the rays of the sun. Hence, a single drop of sun spells white. [5]",5,ハク、ビャク
白,1,白②,白,white bird or dove,"* as a primitive, this character can either retain its meaning of white or take the more graphic meaning of a white bird or dove. This latter stems from the fact that it appears at the top of the kanji for bird, which we shall get to later (frame 1941).",,ハク、ビャク
白,2,百,百,hundred,The Japanese refer to a person’s 99th birthday as a “white year” because white is the kanji you are left with if you subtract one from a hundred. [6],6,ヒャク、ビャク
白,2,白③,白,,,,
皃,1,皃①,皃,"countenance, appearance",White . . . Human legs.,,
皃,2,貌①,貌,"form, appearance, countenance",Skunk . . . appearance.,,ボウ、 バク
皃,2,皃②,皃,,,,
,2,隙,隙,"crevice, fissure, discord, opportunity, leisure",Pinnacle . . . little . . . spring. [13],13,ゲキ、 キャク、 ケキ
原,1,原①,原,"meadow, original, PRIMITIVE, field, plain, prairie, tundra, wilderness","Though the kanji is broad enough to embrace both meanings, the meadow you should imagine here is not a flatland plain but a mountain meadow in the Austrian Alps. (Perhaps the opening scene of “The Sound of Music” will help.) Simply think of little springs bubbling up across the meadow to form a sort of path that leads you right to the brink of a precipitous cliff. Now if you can see Schwester Maria skipping along merrily, dodging in and out of the springs, and then falling headlong over the cliff, you have a ridiculous story that should help fix this kanji in memory. [10]",10,
原,2,源,源,"source, origin","With the advice of the last frame in mind, it is easy to see water and meadow in this character for source. Both in its etymology (it has a common parent with the word “surge”) and in popular usage, source suggests the place water comes from. In this kanji, it is under the meadow, where we just saw it breaking the surface in those bubbly little springs. [13]",13,
原,3,愿,愿,,,,
原,4,願①,願,"petition, request, vow, wish, hope","A meadow and a head are all we are given to work with in the kanji for petition. Since the key word already suggests something like a formal request made of some higher power, let us imagine a gigantic Wizard-of-Oz head located in the middle of the flowery meadow we used in the last frame. Then just picture people kneeling hopefully before it, petitioning for whatever it is they want. (The scarecrow wanted brains, the lion, courage, and the tin man a heart. What about you?) [19]",19,
原,4,原②,原,,,,
泉,1,泉①,泉,"spring, fountain",White . . . water. [13],13,セン
泉,2,腺,腺,gland,Flesh . . . spring. [13],13,セン
泉,2,泉②,泉,,,,
自,1,自①,自,oneself,"You can think of this kanji as a stylized pictograph of the nose, that little drop that Mother Nature set between your eyes. The Japanese refer to themselves by pointing a finger at their nose— giving us an easy way to remember the kanji for oneself. [6]",6,ジ、シ
自,1,自②,自,nose or nostrils,"* The same meaning of oneself can be kept when this kanji is used as a primitive ELEMENT, but you will generally find it better to give it the meaning of nose or nostrils, both because it accords with the story above and because it is the first part of the kanji for nose (frame 678).",,ジ、シ
自,2,息,息,"breath, respiration, son, interest (on money)",Nose . . . heart. [10],10,ソク
自,3,憩②,憩,"recess, rest, relax, repose","tongue . . . nose . . . heart. The sense of breath from the last frame should not be used in your story, since it might lead us later to put only the nose over the heart and leave the tongue off to one side. [16]",16,ケイ
自,3,自③,自,,,,
旦,1,旦①,旦,"daybreak, dawn, morning","While we normally refer to the start of the day as “daybreak,” Japanese commonly refers to it as the “opening up of night” into day. Hence the choice of this rather odd key word, nightbreak. The single stroke at the bottom represents the floor (have a peek again at frame 1) or the horizon over which the sun is poking its head. [5]",5,タン、 ダン
旦,2,胆,胆,"gall bladder, courage, pluck, nerve","The pieces in this character should be easily recognizable: on the left, the element for part of the body, and on the right, the character for nightbreak, which we have just met. What all of this has to do with the gall bladder is not immediately clear. But if we give a slight twist to the traditional biblical advice about not letting the sun set on your anger (which ancient medicine associated with the choler or bile that the gall bladder is supposed to filter out), and change it to “not letting the night break on your anger” (or your gall), the work is done. And the improvement is not a bad piece of advice in its own right, since anger, like so many other things, can often be calmed by letting the sun set on it and then “sleeping it off.” [9]",9,タン
旦,2,旦②,旦,,,,
亘,1,亘①,亘,"span, range, extend over","“Sunrise, sunset, sunrise, sunset…” goes the song of the Fiddler on the Roof. You can almost see the journey of the sun as it moves from one horizon (the floor) to its noonday heights in the sky overhead (ceiling) and then disappears over the other horizon—day after day, marking the span of our lives. [6]",6,
亘,2,垣,垣,"hedge, fence, wall",Ground . . . Span . [11],11,エン
亘,2,亘②,亘,,,,
早,1,早①,早,"early, fast","This kanji is actually a picture of the first flower of the day, which we shall, in defiance of botanical science, call the sunflower, since it begins with the element for sun and is held up on a stem with leaves (the pictographic representation of the final two strokes). This time, however, we shall ignore the pictograph and imagine sunflowers with needles for stems, which can be plucked and used to darn your socks. The sense of early is easily remembered if one thinks of the sunflower as the early riser in the garden, because the sun, showing favouritism towards its namesake, shines on it before all the others (see frame 10). [6]",6,ソウ、サッ
早,1,早②,早,sun-flower,"* as a primitive ELEMENT, this kanji takes the meaning of sunflower, which was used to make the abstract key word early more graphic.",,ソウ、サッ
早,1,早③,早,,,,
𠦝,1,𠦝①,𠦝,mist,"* mist $ Here is our second example of a primitive composed of other primitives but not itself a kanji. At the bottom is the primitive (also a kanji) for early or sunflower. At the top, a needle. Conveniently, mist falls early in the morning, like little needles of rain, to assure that the sunflower blooms early as we have learned it should. [8]",8,
𠦝,2,朝①,朝,"morning, dynasty, regime, epoch, period, (North) Korea","On the right we see the moon fading off into the first light of morning, and to the left, the mist that falls to give nature a shower to prepare it for the coming heat. If you can think of the moon tilting over to spill mist on your garden, you should have no trouble remembering which of all the elements in this story are to serve as primitives for constructing the character. [12]",12,チョウ
𠦝,3,嘲,嘲,"ridicule, insult",Mouth . . . dynasty. [15],15,チョウ、 トウ
𠦝,3,𠦝②,𠦝,,,,
月,1,月①,月,"month, moon","This character is actually a picture of the moon, with the two horizontal lines representing the left eye and mouth of the mythical “man in the moon.” (Actually, the Japanese see a hare in the moon, but it is a little farfetched to find one in the kanji.) And one month, of course, is one cycle of the moon. [4]",4,ゲツ、ガツ
月,1,月②,月,"moon, flesh, or part of the body","*AS A primitive ELEMENT, this character can take on the sense of moon, flesh, or part of the body. The reasons for the latter two meanings will be explained in a later chapter.",,ゲツ、ガツ
月,2,胃,胃,"stomach, paunch, crop, craw","You will need to refer back to frames 13 and 14 here for the special meaning of the two primitive elements that make up this character: flesh (part of the body) and brain. What the kanji says, if you look at it, is that the part of the body that keeps the brain in working order is the stomach. To keep the elements in proper order, when you write this kanji think of the brain as being “held up” by the flesh.[9]",9,イ
月,3,渭,渭,,,,
月,4,喟,喟,,,,
月,5,蝟,蝟,,,,
月,6,謂,謂,,,,
月,7,膚①,膚,"skin, body, grain, texture, disposition",Tiger . . . stomach. [15],15,
月,7,月③,月,,,,
月,1,月④,月,"month, moon","This character is actually a picture of the moon, with the two horizontal lines representing the left eye and mouth of the mythical “man in the moon.” (Actually, the Japanese see a hare in the moon, but it is a little farfetched to find one in the kanji.) And one month, of course, is one cycle of the moon. [4]",4,
月,1,月⑤,月,"moon, flesh, or part of the body","*AS A primitive ELEMENT, this character can take on the sense of moon, flesh, or part of the body. The reasons for the latter two meanings will be explained in a later chapter.",,
月,2,朋,朋,"bright, light","The first companion that God made, as the Bible story goes, was Eve. Upon seeing her, Adam exclaimed, “Flesh of my flesh!” And that is precisely what this character says in so many strokes. [8]",8,
月,3,明,明,"chant, recite, call upon, yell","Among nature’s bright lights, there are two that the biblical myth has God set in the sky: the sun to rule over the day and the moon to rule the night. Each of them has come to represent one of the common connotations of this key word: the sun, the bright insight of the clear thinker, and the moon, the bright intuition of the poet and the seer (see frame 13). [8]",8,
月,4,胡,胡,,,,
月,5,朔①,朔,"conjunction (astronomy), first day of month, north",,,
月,6,朗①,朗,"melodious, clear, bright, serene, cheerful",Good . . . moon. [10],10,
月,7,朝②,朝,"morning, dynasty, regime, epoch, period, (North) Korea","On the right we see the moon fading off into the first light of morning, and to the left, the mist that falls to give nature a shower to prepare it for the coming heat. If you can think of the moon tilting over to spill mist on your garden, you should have no trouble remembering which of all the elements in this story are to serve as primitives for constructing the character. [12]",12,
月,8,期①,期,"period, time, date, term","Bushel basket . . . month. As the month indicates, this has to do with periods of time. [12]4",12,
月,8,月⑥,月,,,,
月,8,月⑦,月,,,,
月,8,月⑧,月,,,,
月,8,月⑨,月,,,,
月,8,月⑩,月,,,,
月,8,月⑪,月,,,,
月,8,月⑫,月,,,,
肖,1,肖①,肖,resemblance,"The word resemblance should suggest, among other things, a son’s resemblance to his father. A “chip off the old block” is the way we often put it, but the character is more simple. It speaks of a little bit of flesh. [7]",7,ショウ
肖,1,肖②,肖,"spark, candle","* When used as a primitive, the sense of resemblance is replaced by that of spark or candle. (If you want an explanation: the kanji for moon also carries a secondary sense of fire, which we omitted because we are keeping that meaning for other primitives.)",,ショウ
肖,2,削,削,"plane, sharpen, whittle, pare, shave","Long before the invention of the carpenter’s plane, people used knives and machetes (or here, sabres) to smooth out their woodwork. If you have ever seen the process, you will have been amazed at the speed and agility with which the adept can plane a hunk of wood into shape. Indeed, you can almost see the sparks fly from their sabres. [9]",9,サク
肖,3,光,光,"ray, light","There are really only 2 primitives here, little and human legs. The 4th stroke that separates them is added for reasons of aesthetics. (If that doesn’t make sense, try writing the kanji without it and see how ugly the results look, even to your beginner’s eye.) Now if you have wondered what those little particles of “dust” are that dance around in the light-rays that come through the window and fall on your desk, try imagining them as little and disembodied human legs, and you should have no trouble with this character. [6]",6,コウ
肖,3,肖③,肖,,,,
