group_number,group_kanji,group_meaning,group_story,onyomi
33,旦,"daybreak, dawn, morning","While we normally refer to the start of the day as “daybreak,” Japanese commonly refers to it as the “opening up of night” into day. Hence the choice of this rather odd key word, nightbreak. The single stroke at the bottom represents the floor (have a peek again at frame 1) or the horizon over which the sun is poking its head. [5]",タン、 ダン
34,亘,"span, range, extend over","“Sunrise, sunset, sunrise, sunset…” goes the song of the Fiddler on the Roof. You can almost see the journey of the sun as it moves from one horizon (the floor) to its noonday heights in the sky overhead (ceiling) and then disappears over the other horizon—day after day, marking the span of our lives. [6]",
35,早,,,
36,𠦝,mist,"* mist $ Here is our second example of a primitive composed of other primitives but not itself a kanji. At the bottom is the primitive (also a kanji) for early or sunflower. At the top, a needle. Conveniently, mist falls early in the morning, like little needles of rain, to assure that the sunflower blooms early as we have learned it should. [8]",
38,月,"moon, flesh, or part of the body","*AS A primitive ELEMENT, this character can take on the sense of moon, flesh, or part of the body. The reasons for the latter two meanings will be explained in a later chapter.",
40,肖,"spark, candle","* When used as a primitive, the sense of resemblance is replaced by that of spark or candle. (If you want an explanation: the kanji for moon also carries a secondary sense of fire, which we omitted because we are keeping that meaning for other primitives.)",
41,用,"a screwdriver, perhaps the most utilized of all tools around the house.","* as a primitive ELEMENT, we shall substitute the image of a screwdriver, perhaps the most utilized of all tools around the house.",ヨウ
42,角,the tool used by draftsmen and carpenters to draw right-angles,"* as a primitive, imagine the tool used by draftsmen and carpenters to draw right-angles.",カク
43,身,"somebody, person, one's station in life","The key word somebody was chosen to convey the double meaning of this kanji: body and person. Its composition is based on the nose (which, you will recall, is also the kanji for oneself). The extension of the bottom and far right strokes of that element, together with the unusual diagonal stroke, forms the pictograph of somebody with a prominent paunch. [7]",シン
44,瓦,"tile, gram","Ceiling . . . walking stick . . . fishhook . . . ice. Note how the last stroke of the final element, ice, is stretched out to close the bottom of the tile. [5]",ガ
45,夜,"night, evening","First of all, be sure not to confuse the connotations of night with those of evening (frame 109) and night break (frame 30). Its elements: top hat . . person . . .walking legs . . . drop. [8]",ヤ
46,彑,pig's head radical variant (no. 58),pig's head,
47,,"by means of, because, in view of, compared with","Picture a person dragging a plow behind, and the drop of sweat which falls from his brow as he does his work. Think of him (or her, for that matter) making a living “by means of the sweat of their brows.” [5]",イ
48,凹,"concave, hollow, sunken","You couldn’t have asked for a better key word for this kanji! Just have a look at it: a perfect image of a concave lens (remembering, of course, that the kanji square off rounded things), complete with its own little “cave.” Now all you have to do is learn how to write it. [5]",オウ
49,丷,horns,"* horns ( This primitive element always appears at the top of the element to which it is related, and is always attached, or almost attached, to the first horizontal line to come under it. The horns can never simply be left hanging in the air. When there is no line available, an extra horizontal stroke (like a one) is added. The final kanji of this Lesson gives an example. The meaning of this element is wide enough to embrace the horns of bulls, rams, billy goats, and moose, but not the family of musical instruments. As with other elements with such “open” meanings, it is best to settle on one that you find most vivid and stick with that image consistently. [2]",
50,前,"in front, before","We waited to introduce this character until now, even though the pieces have been available for some time, because it helps to reinforce the odd kanji of the last frame. Picture the butcher hacking away with his knife at a slab of meat on his table with a pair of ram’s horns placed in front of him (or on his head, if you prefer). There is no need to worry about confusing this kanji with that for before (frame 248), since it will not appear as a primitive in any other character used in this book. [9]",ゼン
51,兌,devil,* devil P The two horns on the head of the teenager are enough to suggest to most parents of adolescents a good image of a devil. [7],
52,曽,increase,"* The primitive meaning, increase, comes from the next frame. Always think of something multiplying wildly as you watch.",ソウ、ソ、ゾウ
53,兼,"concurrently, and, beforehand, in advance","At the top we have the animal horns and the single horizontal stroke to give them something to hang onto. Below that, we see one rake with two handles. Finally, we see a pair of strokes splitting away from each of the handles, indicating that they are both splitting under the pressure. The composite picture is of someone holding down two jobs concurrently, using the same kit of tools to move in two different directions and ending up in a mess. Take the time to find this sense in the kanji and it will be easy to remember, despite initial appearances. [10]",ケン
54,乙,fishhook,"* We will keep fishhook as the primitive meaning. Its shape will rarely be quite the same as that of the kanji. When it appears at the bottom of another primitive, it is straightened out, almost as if the weight of the upper element had bent it out of shape. And when it appears to the right of another element, the short horizontal line that gets the shape started is omitted and it is stretched out and narrowed, all for reasons of space and aesthetics. Examples of these alterations (which are consistent) follow.",オツ、 イツ
55,丁,"street, nail, spike","* Used as a primitive, we change the meaning of the key word and take the shape to signify a nail or a spike. Should it happen, on reviewing, that you find the pictographs get jumbled, then think of jerking a street sign out of the ground and using it as a nail to repair your garage roof.",チョウ、テイ、チン、トウ、チ
56,可,"can, passable, mustn't, should not, do not","when you hear this key word, and the rest is simple. See the determined little locomotive huffing and puffing up the mountain—” I think I can, I think I can....”—spitting railroad spikes out of its mouth as it chews up the line to the top. [5]",カ、コク
57,年,"year, counter for years","In an odd fashion, the kanji for year joins together the element for horse, on the top, and the right half of the element for sunglasses. Think of it as a horse wearing sunglasses with one of the lenses popped out. We will use this latter image again, so learn it now and save yourself the trouble later. [6]",ネン
58,韋,tanned leather radical (no. 178),"* locket y The vertical stroke added here (the third stroke) turns the primitive element for a key into a locket. Below that, we find a square container (the mouth) and sunglasses with one of the lenses popped out. Note that in the primitive element for locket the final vertical stroke of sunglasses reaches all the way through to touch the mouth. [10]",
59,田,,,
60,畐,wealth,"* wealth & To prepare for following frame, we introduce here a somewhat rare primitive meaning wealth. It takes its meaning from the common image of the overwealthy as overfed. More specifically, the kanji shows us one single mouth devouring all the harvest of the fields, presumably while those who labour in them go hungry. Think of the phrase exactly as it is written when you draw the character, and the disposition of the elements is easy. [9]",
61,鬲,"""tripod"" radical, Chinese kettle with three legs",Ceiling . . . mouth . . . glass canopy . . . human legs . . . spike. You might want to compare the kanji with tripod,
62,由,"shoot, sprout","* as a primitive, in conformity to the explanation above, this kanji will be taken to mean shoot or sprout.",ユ、ユウ、ユイ
63,甲,"roots, Important to that word is the image of “pushing downwards,” as roots do.","ô õ * The primitive meaning is roots. Important to that word is the image of “pushing downwards,” as roots do.",コウ、 カン
64,申,(seed) monkey,"ö ÷ * While this kanji has obvious affinities to the “seed” group, it also happens to be the zodiacal sign of the monkey (the one who speaketh no evil, among other things). We shall therefore take monkey as its primitive meaning.",シン
65,果,"fruit, reward, carry out, achieve, complete, end, finish, succeed","The final stage of the seed is reached when the plant has reached its full growth (the tree) and comes to fruition, producing fruit full of new seeds that can return to the earth and start the process all over again. The main thing to notice here is the element for brains at the top, which might prove more helpful than rice field for creating an image. [8]",カ
66,男,male,Rice fields . . . power. [7],
67,鬼,"ghost, devil",Drop of . . . brains . . . human legs . . . elbow. [10],キ
68,曲,,,
69,曹,"office, official, comrade, fellow",This character is written in the order of its elements: one . . . bend . . . sun. [11],ソウ、ゾウ
70,里,"logic, computer","* To get a more concrete primitive meaning for this kanji, we shall refer to it as a computer, a meaning deriving from the kanji for logic, which we will meet in Lesson 12.",
71,黒,black,"Like most things electrical, a computer, too, can overheat. Just imagine flames pouring out of it and charring the keyboard, the monitor, and your desk a sooty black colour. [11]",コク
72,廛,,,
73,重,"heavy, important, esteem, respect, heap up, pile up, nest of boxes, -fold",Thousand . . . ri. Note how the long vertical stroke doubles up to serve both elements. [9],ジュウ、チョウ
74,動,"move, motion, change, confusion, shift, shake",Heavy . . . muscle. [11],ドウ
75,巴,mosaic,"* mosaic ú This element is shaped roughly like the snake, but pay attention to the difference when writing it. [4]",ハ
76,色,colour,Bound up . . . mosaic. [6],ショク、シキ
77,赤,"red, apple","* as a primitive on the left, this kanji keeps the same form.

Elsewhere, the first two strokes are abbreviated to a single dot, giving us 8. This latter form will take the meaning of an apple. 4",セキ、シャク
78,黄,yellow,Salad . . . sprout . . . animal legs. [11],コウ、オウ
79,目,eye,"* as a primitive, the kanji keeps its sense of eye, or more specifically, an eyeball. In the surroundings of a complex kanji, the primitive will sometimes be turned on its side like this: {.",モク、ボク
80,口,mouth,"* as a primitive, this form also means mouth. Any of the range of possible images that the word suggests—an opening or entrance to a cave, a river, a bottle, or even the largest hole in your head—can be used for the primitive meaning.",コウ、ク
81,吾,"risk, face, defy, dare, damage, assume (a name)","There are actually a number of kanji for the word I, but the others tend to be more specific than this one. The key word here should be taken in the general psychological sense of the “perceiving subject.” Now the one place in our bodies that all five senses are concentrated in is the head, which has no less than five mouths: 2 nostrils, 2 ears, and 1 mouth. Hence, five mouths = I. [7]",
82,呆,,,
83,懆,,,
84,嵒,,,
86,言,"saying, speech, words","* This kanji, which appears often as a primitive, can mean saying, speech, or words, depending on which is most useful.",ゲン、ゴン
87,呂,"spine, backbone",This character is rather like a picture of two of the vertebrae in the spine linked by a single stroke. [7],ロ、 リョ
88,𠂤,maestro,"* maestro … To go with this primitive meaning, you might picture a tuxedo-clad maestro waving his baton about wildly. The baton is seen in the drop at the top. And the two boxes attached to the long vertical stroke may represent his tuxedo tails, if you wish. [6]",
89,官,"bureaucrat, the government, organ","By replacing the maestro’s baton (the drop) with the roof of a house, we have his equivalent in the institutional world of big government: the bureaucrat. [8]",カン
90,串,"spit, skewer","##  This pictograph of two pieces of meat on a skewer, a shish kebab, will help us in the next frame. [7]",カン、 ケン、 セン
91,リ,"squad, corps, unit, group",Spear . . . two balls. [10],ハン
92,刀,dagger,"* In the form of the kanji, this primitive means a dagger. When it appears to the right of another element, it is commonly stretched out like this § and takes the sense of a great and flashing sabre, a meaning it gets from a character we shall learn later (frame 1671).",トウ
93,刃,"blade, sword, edge","Think of using a dagger as a razor blade, and it shouldn’t be hard to imagine cutting yourself. See the little drop of blood clinging to the blade? [3]",
94,召,"seduce, call, send for, wear, put on, ride in, buy, eat, drink, catch (cold)",A sword or dagger posed over a mouth is how the character for “beckoning” is written. The related but less tame key word seduce was chosen because it seemed to fit better with the— how shall we put it?—Freudian implications of the kanji. (Observe if you will that it is not sure whether the long slender object is seducing the small round one or vice versa.) [5],ショウ
95,寸,glue or glued to,"* as a primitive, we shall use this to mean glue or glued to. There is no need to devise a story to remember this, since the primitive will appear so often you would have to struggle hard not to remember it.",スン
96,専,acupuncturist,* The primitive form of this kanji eliminates the needle on the left and gets the meaning of an acupuncturist.,セン
97,專,,,
98,斗,measuring cup,"* Since we already have a primitive element for a “dipper”— namely, the ladle—we shall let this one stand for a measuring cup. By the way, it would make a rather large one, since the kanji is also used for a measure of about 18 liters!",ト、トウ
99,甫,dog tag,"* dog tag ¡ This primitive refers to all sorts of identification tags, but dog tag is chosen for its descriptiveness. On the top we see the arrowhead, joined to the screwdriver below by the lengthened vertical stroke. [7]",
100,卜,"divining rod, magic wand","* divining rod í This is a picture of a divining rod, composed of a drop and a walking stick, but easy enough to remember as a pictograph. Alternately, you can think of it as a magic wand. In either case, it should suggest images of magic or fortune-telling. Nowadays it is written in the stroke order given here when it appears as a primitive, but until recently the order was often reversed (in order to instill correct habits for more stylized calligraphy). [2]

* Although it falls outside of the list of general-use kanji, this element is actually a kanji in its own right, having virtually the same meaning as the kanji in the next frame.",
101,占,"fortune-telling, divining, forecasting, occupy, hold, have, get, take","This is one of those kanji that is a real joy of simplicity: a divining rod with a mouth—which translate directly into fortunetelling. Note how the movement from top to bottom (the movement in which the kanji are written) is also the order of the elements which make up our story and of the key word itself: first divining rod, then mouth. This will not always be possible, but where it is, memory has almost no work at all to do. [5]",セン
102,立,"stand up, vase","* Used as a primitive, it can also mean vase. In taking its kanji meaning, it is best to think of something standing up that is normally lying down, or something standing up in an unusual way. 1",リツ、リュウ、リットル
103,咅,muzzle,"* muzzle N The element for muzzle shows a vase fixed over a mouth, perhaps with a rubber band running around the back of the head to keep it in place. [8]",
104,妾,concubine,a woman who lives with a man but has lower status than his wife or wives [8],
105,章,"badge, chapter, composition, poem, design",,ショウ
106,音,sound,* The primitive from this kanji also means simply a sound.,オン、イン、-ノン
107,戠,"a fiesta, namely a kazoo.","* kazoo O This primitive’s special usefulness lies not in its frequency but in its simplification of a few otherwise difficult kanjis. It pictures the sound of a fiesta, namely a kazoo. Note how the element for sound is written first, the fifth stroke extended so that it can be used in the element for fiesta. [12]",
108,竟,mirror,"* mirror ‚ This primitive gets its meaning from the following frame. It shows a pair of human legs and a tongue-wagging mouth looking at a mirror standing on the wall, asking perhaps who might be the fairest of them all. [11]",
109,意,"idea, mind, heart, taste, thought, desire, care, liking",Sound . . . heart. [13],イ
110,龍,"dragon, imperial",,リュウ、リョウ、ロウ
111,童,"juvenile, child","This frame shows up the image of a juvenile hacker standing on top of a computer, or rather jumping up and down on it, because it refused to come up with the right answer. [12]",ドウ
112,冏,,,
113,啇,antique,"* antique Ð The primitive meaning antique, not itself a kanji, depicts a vase kept under a glass hood because it is very, very old. [11]",
114,辛,"spicy, red pepper","* as a primitive, we shall use this meaning of spicy

except when the two extra strokes are added to the bottom, giving it the form of a tree: ¹. Then we take its alternate meaning of a red pepper plant. The connection is obvious.",シン
115,辟,ketchup,"* ketchup ÷ One way American children learn to cope with food they are forced to eat against their will is to smother it with ketchup. We can see this depicted in the mouth with the flag over it (in this case, the Stars and Stripes), set alongside the element for spicy (all of which is not far removed from the original meaning it had as a character on its own: “false”). [13]",
116,薛,,,
117,癖,"mannerism, habit, vice, trait, fault, kink",Sickness . . . ketchup. [18],
118,劈,,,
119,新,new,Red pepper . . . ax. [13],シン
120,幸,"happiness, blessing, fortune","Simply by turning the dot at the top of the last primitive into a cross shape, we move from things bitter and spicy to things happy. [8]",コウ
121,,"only, free, in addition","When we run across abstract key words like this one, the best way to get an image it to recall some common but suggestive phrase in which the word appears. For instance, we can think of the expression “it’s the only one of its kind.” Then we imagine a barker at a side-show advertising some strange pac-man like creature he has inside his tent, with only a gigantic mouth and two wee animal legs. [5]",シ
122,貝,"shells, oyster and clam","* When used as a primitive, in addition to shells, the meanings oyster and clam will often come in handy.",バイ
123,貢,"tribute, support, finance",A tribute has a kind of double-meaning in English: honor paid freely and money collected by coercion. Simply because a ruler bestows a noble name on a deed is hardly any consolation to the masses who must part with their hard-earned money. Little wonder that this ancient craft of getting money by calling it a tribute has given way to a name closer to how it feels to those who pay it: a tax. [10],コウ、 ク
124,頁,head,"* as a primitive, this kanji takes the unrelated meaning of a head (preferably one detached from its body), derived from the character for head (frame 1441).",
125,,"tool, utensil, means, possess, ingredients, counter for armor, suits, sets of furniture","Here is the full kanji on which the last frame is based. If you can think of a table full of carpenter’s tools of all sorts, each equipped with its own eye so that it can keep a watch over what you are doing with it, you won’t have trouble later keeping the primitive and the kanji apart. [8]",グ
126,冥,dark,Crown . . . day . . . six. [10],メイ、 ミョウ
127,呉,"give, do something for, kingdom of Wu","The complex of strokes in this kanji is unusual and difficult, because of the fourth stroke, which is rare (see frames 33 and 34). The mouth and tool are already familiar. [7]",ゴ
128,儿,human legs,"* human legs # Notice how these human legs are somewhat shapelier and more highly evolved than those of the so-called “lower animals.” The one on the left, drawn first, is straight; while the one on the right bends gracefully and ends with a hook. Though they are not likely to suggest the legs of any human you know, they do have something of the look of someone out for a stroll, especially if you compare them to animal legs. If you had any trouble with the kanji for the number four, now would be the time to return to it (frame 4). [2]",
129,元,"beginning, former time, origin","“In the beginning…” starts that marvellous shelf of books we call the Bible. It talks about how all things were made, and tells us that when the Creator came to humanity, she made two of them, man and woman. While we presume, she made two of every other animal as well, we are not told as much. Hence two and a pair of human legs come to mean beginning. [4]",ゲン、ガン
130,罙,paper punch,"* paper punch † This primitive simply discards the first stroke of that for hole to become a paper punch. When found at the top of its relative primitive, it undergoes the same change, the eight becoming human legs (see frame 1316). [4]",
131,尤,"reasonable, just, natural, superb",,
132,沈,"sink, be submerged, subside, be depressed, aloes","The technique for sinking used in this kanji is unique. Rather than the biblical image of tying a millstone about the victim’s neck, here we see a crown tied about one leg before the unfortunate party is tossed into the water. [7]",チン、ジン
133,凵,shovel,"* shovel Ô This enclosure—which embraces its relative primitive from the bottom—is a pictograph of the scoop of a shovel. When room permits, the arms are extended upwards to nearly the same height as the relative element it holds. [2]",
134,齒,,,
135,両,"both, old Japanese coin, counter for carriages (e.g., in a train), two",Spike . . . belt . . . shovel. Note that the writing order follows the order in which the primitives are given here. [6],リョウ
136,甘,"a wicker basket is used, a small one like the kind used for picnics.","* as a primitive, the pictograph’s meaning of a wicker basket is used, a small one like the kind used for picnics.",カン
137,某,"so-and-so, one, a certain, that person",The key word here refers to the adjective for an unspecified person or thing. Its elements: wicker basket . . . tree. [9],ボウ
138,其,bushel basket,"* bushel basket ¤ As the two legs at the bottom suggest, this bushel basket is a large container, standing on the floor. Its first four strokes indicate that it is made of wicker, much like the small wicker basket treated immediately above. To put something inside of the bushel basket, the legs at the bottom are attached to the final horizontal stroke and extended to make a kind of enclosure. [8]",
139,欺,"deceit, cheat, delude",Bushel basket . . . yawn. [12],
140,甚,"tremendously, very, great, exceedingly","Bushel basket . . . equal. Note how the first stroke of equal doubles up with the sixth stroke of the bushel basket, and how the animal legs of the bushel basket are dropped to make room for the human legs of equal. [9]",ジン
142,且,,,
143,⼏,"commonplace, ordinary, mediocre","While we refer to something insignificant as a “drop in the bucket,” the kanji for mediocre suggests the image of a “drop in the wind.” [3]",ボン、 ハン
144,殳,"missile,  something thrown as a weapon.","* missile r Although modern connotations are more suggestive, this primitive simply refers to something thrown as a weapon. Its elements: wind . . . crotch. [4]",
145,撃,"beat, attack, defeat, conquer",Car . . . missile . . . hand. [15],
146,丹,,,
147,舟,"boat, ship","After the drop and the glass canopy, we come to a combination of three strokes that we met only once before, in the character for mama (frame 101). The pictographic meaning we gave it there has no etymological relationship to this character, but use it if it helps. [6]",シュウ
148,般,"carrier, carry, all, general, sort, kind",Boat . . . missile. [10],ハン
149,⼓,"phrase, clause, sentence, passage, paragraph, counter for haiku","By combining the two primitives bound up and mouth, we can easily see how this character can get the meaning of a phrase. After all, a phrase is nothing more than a number of words bound up tightly and neatly so that they will fit in your mouth. [5]",ク
150,勺,"ladle, one tenth of a go, dip","If you want to bind up drops of anything—water, soup, lemonade— you use something to scoop these drops up, which is what we call a ladle. See the last drop left inside the ladle? [3]",シャク
151,掬,,,
152,芻,,,
153,⼞,"say, reason, pretext, history, past, flat sun radical (no. 73)","Pent in . . . one. The key word refers to famous sayings of famous people, and is the origin for the primitive meaning of a tongue wagging in the mouth that we learned in frame 12. The size of this kanji, a relatively rare one, is what distinguishes it from day. [4]",
154,固,"harden, set, clot, curdle",Old . . . pent in. Leave the people out of your story to avoid complications later when we add the element for person to form a new kanji (frame 973). [8],
155,因,"cause, factor, be associated with, depend on, be limited to",St. Bernard dog . . . pent in. [6],イン
156,玉,"jewel, ball",,
157,国,country,Jewels . . . pent in. [8],
158,冂,hood,"* hood · In addition to the basic meaning of hood, this shape can be used for a glass cover, such as that used to serve “pheasant under glass.” Note its difference from the element for wind: the second stroke is hooked inwards here. To help remember this detail, think of the wind as blowing “out” and a glass canopy as keeping something “in.” Among the related images suggested by this primitive are: a monk’s cowl, a riding hood, a helmet, and an automobile hood. [2]",
159,爾,"you, thou, second person",Glass canopy . . . flower. It is most rare to see the flower come under its relative element. Note how it is straightened out to fill the space available. [5],
160,𠕁,scrapbook,Glass canopy . . . flower. It is most rare to see the flower come under its relative element. Note how it is straightened out to fill the space available. [5],
161,扁,"level, small",Door . . . scrapbook. [9],ヘン
162,冊,"tome, counter for books, volume",This key word is a counter for books. It differs from scrapbook both in the writing order and in the extension of the second horizontal stroke. [5],サツ、サク
163,匚,box,"* box 1 This enclosure, open at the right, represents a box lying on its side. When it is not used as an enclosure, its form is cramped to look like this: ». You may distinguish its meaning by picturing it then as a very small box. [2]",
164,区①,"ward, district","The ward referred to here is a subdivision of a large city. Its elements: box . . . sheaves. When used as a primitive ELEMENT, it may be helpful at times to break it up into these same composite elements. [4]",
165,區,,,
166,巨,"gigantic, big, large, great","This kanji depicts a gigantic “pop-eye,” which accounts for its shape. Be sure not to confuse it with the slave (retainer) we just learned.[5]",キョ
167,臣,slave,"* as a primitive, the meaning of the key word becomes slave.",シン、ジン
168,堅,"strict, hard, solid, tough, tight, reliable",Slave . . . crotch . . . soil. [12],ケン
169,監,"oversee, official, govt office",Slaves . . . reclining . . . floor . . . dish. [17],カン
170,蔵,"storehouse, hide, own, have, possess",Flowers . . . parade . . . slaves. [15],ゾウ、ソウ
171,⼚,"curriculum, continuation, passage of time","That same grove of trees we met in frame 213 shows up here in the character for curriculum (in the sense of a record of one’s life or academic achievements, the curriculum vitae). Instead of the grove making its way slowly through the surface of the cliff as before, here we see it stopped, much the same as a curriculum vitae calls a halt to the calendar and talks only about the past. [14]",レキ、レッキ
172,广,"cave, This primitive combines the cliff (the last 2 strokes) with the first dot we use on the roof of the house.",* cave Z This primitive combines the cliff (the last 2 strokes) with the first dot we use on the roof of the house. Together they make a “cliff house” or cave. It “encloses” its relative primitives beneath it and to the right. [3],
173,麻,"hemp, flax, numb","Cave . . . grove. If it helps, this is the hemp marijuana comes from. [11]",マ、 マア
174,皮,"pelt, skin, hide, leather, skin radical (no. 107)","The simplest way to remember this character is to see it as built up from that for branch. The first stroke can then stand for something “hanging” down from the branch, namely its bark or pelt. The barb at the end of the second stroke is the only other change. Merely by concentrating on this as you write the following small cluster of characters should be enough to fix the form in your mind. By way of exception, you might doodle around with the kanji’s form to see what you can come up with. [5]",ヒ
175,疒,sickness,"* sickness ¿ The enclosure shown in this frame is composed of a cave with ice outside of it. It is used for a number of kanji related to sickness. If you want to picture a caveman nursing a hangover with an ice-pack, that should provide enough help to remember the shape of this element and its meaning. [5]",
176,𠂆,drag,"* drag ± Althoughnot a pictograph in the strict sense, this primitive depicts one stroke pulling another along behind it.

Note how it differs from cliff and person because of this dragging effect,not to mention the fact that the first stroke is written right to left, almost as if it were a long drop.

When this element comes under a different element, the strokes are drawn apart like this: ¼. [2]",
177,后,"empress, queen, after, behind, back, later",Drag . . . one . . . mouth. [6],
178,盾,"shield, escutcheon, pretext",Dragging . . . ten eyes. [9],ジュン
179,斤,"axe, 1.32 lb, catty, counter for loaves of bread, axe radical (no. 69)","This character represents a picture of an ax, the two vertical lines being the handle and the horizontal strokes of the blade. Note the writing order carefully. [4]",キン
180,質,"substance, quality, matter, temperament",Two axes . . . shells. [15],
181,折,"fold, break, fracture, bend, yield, submit",Fingers . . . ax. Hint: make an image out of the Japanese art of “origami” (paper-folding). [7],セツ、シャク
182,斥,"reject, retreat, recede, withdraw, repel, repulse",Ax . . . a drop of. [5],セキ
183,尸,flag,"* flag Ô The pictographic representation of this element is obvious. Provided you can hold your imagination in check for the first example, you might best imagine your own national flag in composing your stories. [3]",
184,尼,nun,Flag . . . spoon. [5],ニ
185,屈,"yield, bend, flinch, submit",Flag . . . exit. [8],クツ
186,居,"reside, to be, exist, live with",Flag . . . old. Do not confuse with dwell (frame 954). [8],キョ、コ
187,尺,"shaku, Japanese foot, measure, scale, rule","The key word shaku has actually come into English in the word shakuhachi, the ancient Japanese flute that measured “one shaku and eight sun” (the “sun” being about an inch in length). Since the shaku is about one foot in length, this makes about 20 inches. Let the final sweeping stroke be like a tape measure added to the flag. [4]",シャク、 セキ
188,戸,"door, counter for houses, door radical (no. 63)",One . . . flag. [4],コ
189,扇,"fan, folding fan",Door . . . wings. [10],
190,戻,"re-, return, revert, resume, restore, go backwards",The key word signals a “coming back” or return to some place or activity. Its elements: door . . . St. Bernard dog. [7],レイ
191,雇,"employ, hire",Door . . . turkey. Be sure to keep distinct from both employee (frame 56) and use (frame 990). [12],コ
